pakistan,Pakistan,wg,x-wg,,30.375321,69.345116,6,PAK
palestine,Palestine,wr,x-wr,,31.952162,35.233154,8,PAL
panama,Panama,wr,x-wr,x247,8.537981,-80.782127,8,PAN
papuanewguinea,Papua New Guinea,wr,x-wr,,-6.314993,143.95555,7,PNG
paraguay,Paraguay,wr,s-brw,x092,-23.442503,-58.443832,7,PAR
peru,Peru,rw,d-rwr,x244,-9.189967,-75.015152,6,PER
philippines,Philippines,wr,e-rbw,,12.879721,121.774017,6,PHI
poland,Poland,rw,x-rw,x121,51.919438,19.145136,7,POL
portugal,Portugal,ed,x-ed,x095,39.399872,-8.224454,7,POR
puertorico,Puerto Rico,wr,s-brw,,18.220833,-66.590149,9,PUR
qatar,Qatar,wc,x-wc,x302,25.354826,51.183884,9,QAT
reunion,R&eacute;union Island,rg,x-rg,,-21.115141,55.536384,8,REU
romania,Romania,by,o-byr,x101,45.943161,24.96676,7,ROU
russia,Russia,wd,x-wd,x122,61.52401,105.318756,4,RUS
rwanda,Rwanda,yg,h-byg,,-1.940278,29.873888,9,RWA
saintlucia,St. Lucia,kf,b-kyf,,13.909444,-60.978893,8,LCA
saintvincentandthegrenadines,St. Vincent &amp; Grenadines,by,x-by,,12.984305,-61.287228,8,VIN
samoa,Samoa,wb,x-wb,,-13.759029,-172.104629,10,SAM
sanmarino,San Marino,wb,x-wb,,43.94236,12.457777,13,SMR
saotomeandprincipe,Sao Tome &amp; Principe,gy,x-gy,,0.18636,6.613081,11,STP
saudiarabia,Saudi Arabia,wg,x-wg,x227,23.885942,45.079162,6,KSA
scotland,Scotland,yn,x-yn,x050,57.2941727,-4.5668113,7,SCO
senegal,Senegal,gw,x-gw,x245,14.497401,-14.452362,8,SEN
serbia,Serbia,wr,x-wr,x246,44.016521,21.005859,7,SRB
seychelles,Seychelles,wr,x-wr,,-4.679574,55.491977,9,SEY
sierraleone,Sierra Leone,wb,x-wb,,8.460555,-11.779889,8,SLE
singapore,Singapore,wr,x-wr,,1.352083,103.819836,12,SIN
slovakia,Slovakia,bw,x-bw,x131,48.669026,19.699024,8,SVK
slovenia,Slovenia,gw,x-gw,x108,46.151241,14.995463,9,SVN
solomonislands,Solomon Islands,by,x-by,,-9.64571,160.156194,8,SOL
somalia,Somalia,wb,x-wb,,5.152149,46.199616,6,SOM
southafrica,South Africa,gy,x-gy,,-30.559482,22.937506,6,RSA
southsudan,South Sudan,rb,d-wbr,,7.8621772,27.4508981,7,SSD
sovietunion,Soviet Union,wr,x-wr,x228,61.52401,105.318756,4,USR
spain,Spain,yr,x-yr,x048,40.463667,-3.74922,7,ESP
srilanka,Sri Lanka,wq,x-wq,,7.873054,80.771797,8,SRI
stkittsandnevis,St. Kitts &amp; Nevis,rg,s-wrg,,17.357822,-62.782998,8,SKN
sudan,Sudan,wr,x-wr,,12.862807,30.217636,6,SDN
suriname,Suriname,gw,x-gw,,3.919305,-56.027783,8,SUR
sweden,Sweden,by,x-by,x130,60.128161,18.643501,5,SWE
switzerland,Switzerland,wr,x-wr,x112,46.818188,8.227512,8,SUI
syria,Syria,wr,x-wr,,34.802075,38.996815,7,SYR
tahiti,Tahiti,wr,x-wr,,-17.631026,-149.5472408,11,TAH
taiwan,Taiwan,wb,e-wrb,,23.69781,120.960515,8,TPE
tajikistan,Tajikistan,rw,x-rw,,38.861034,71.276093,8,TJK
tanzania,Tanzania,kb,x-kb,,-6.369028,34.888822,7,TAN
thailand,Thailand,ky,x-ky,,15.870032,100.992541,6,THA
timorleste,East Timor,kr,x-kr,,-8.874217,125.727539,8,TLS
togo,Togo,gy,h-gry,,8.619543,0.824782,8,TOG
tonga,Tonga,wr,x-wr,,-21.178986,-175.198242,11,TGA
trinidadandtobago,Trinidad &amp; Tobago,wr,e-kwr,,10.691803,-61.222503,9,TRI
tunisia,Tunisia,rw,x-rw,x249,33.886917,9.537499,7,TUN
turkey,Turkey,wr,x-wr,x123,38.963745,35.243322,7,TUR
turkmenistan,Turkmenistan,gw,x-gw,,38.969719,59.556278,7,TKM
turksandcaicosislands,Turks &amp; Caicos Islands,wb,x-wb,,21.694025,-71.797928,8,TCA
uganda,Uganda,ky,o-krky,,1.373333,32.290275,8,UGA
ukraine,Ukraine,ay,x-ay,x132,48.379433,31.16558,7,UKR
unitedarabemirates~uae,United Arab Emirates,kw,x-kw,,23.424076,53.847818,8,UAE
unitedstates~usa,United States,nw,x-nw,x005,37.09024,-95.712891,5,USA
uruguay,Uruguay,kh,x-kh,x096,-32.522779,-55.765835,7,URU
uzbekistan,Uzbekistan,bw,x-bw,,41.377491,64.585262,7,UZB
vanuatu,Vanuatu,ku,x-ku,,-15.376706,166.959158,8,VAN
venezuela,Venezuela,wc,x-wc,,6.42375,-66.58973,7,VEN
vietnam,Vietnam,yr,x-yr,,14.058324,108.277199,6,VIE
virginislands,US Virgin Islands,yb,x-yb,,18.335765,-64.896335,8,VIR
wales,Wales,wr,x-wr,x124,52.2901285,-3.9158267,8,WAL
yemen,Yemen,wr,x-wr,,15.552727,48.516388,7,YEM
zambia,Zambia,og,x-og,,-13.133897,27.849332,7,ZAM
zanzibar,Zanzibar,ky,x-ky,,-6.1677471,39.1427798,12,ZAN
zimbabwe,Zimbabwe,yg,x-yg,,-19.015438,29.154857,7,ZIM
