C,primeratorneodeveranofinalstage,21,Primera Torneo de Verano Final Stage,
C,primeratorneochampionshipfinal,22,Primera Torneo Championship Final,
C,primeratorneodeinviernofinalstage,22,Primera Torneo De Invierno Finals,
C,primeradivisionaperturachampionshipfinal,22,Primera Division Apertura Championship Final,
C,primeradivisionaperturafinalstage,22,Primera Division Apertura Finals,
C,primeradivisionclausura,22,Primera Division Clausura,
C,primeradivisionclausurachampionshipfinal,22,Primera Division Clausura Finals,
C,primeradivisionaperturarelegationplayoff,22,Primera Division Apertura Relegation Playoff,
N,CRO,Croatia,290,croatia
C,supercup,1,Super Cup,
L,1division,10,Prva Liga,
C,1divisionqualification,11,Prva Liga Qualification,
C,facup,100,Nogometni Kup,
N,CYP,Cyprus,550,cyprus
C,supercup,1,Cypriot Super Cup,
L,1division,10,First Division,
C,1divisionchampionshipplayoff,11,First Division Championship Playoff,
C,1divisionrelegationplayoff,12,First Division Relegation Playoff,
C,cup,100,Cypriot FA Cup,
C,cupfinalstage,105,Cypriot Cup Final Stages,
N,CZE,Czech Republic,220,czechrepublic
L,1liga,10,Prvn&iacute; Liga,
C,1ligachampionshipgroup,11,Prvn&iacute; Liga Championship Group,
C,1ligaeuropaleagueplayoff,12,Prvn&iacute; Liga Europa League Playoff,
C,1ligarelegationgroup,13,Prvn&iacute; Liga Relegation Group,
C,1ligaqualification,14,Prvn&iacute; Liga Qualification,
L,fnl,20,N&aacute;rodn&iacute; Liga,
C,cup,100,Poh&aacute;r FA&Ccaron;R,
N,DEN,Denmark,120,denmark
L,superligaen,10,Superlig&aelig;n,
L,superligaenrelegationgroup,10,Superlig&aelig;n Relegation Group,
L,kvindeligaen,10,Kvinde Lig&aelig;n,
C,kvindeligaenchampionshipgroup,10,Kvinde Lig&aelig;n Championship Group,
L,3fligaenchampionshipgroup,10,Elitedivisionen Qv,
C,superligaenchampionshipplayoff,11,Superlig&aelig;n Championship Playoff,
L,superligaenrelegationgrp1,12,Superlig&aelig;n Relegation Group 1,
L,superligaenrelegationgrp2,13,Superlig&aelig;n Relegation Group 2,
C,superligaeneuropaleagueplayoff,14,Superlig&aelig;n Europa League Playoff,
C,superligaenrelegationplayoff,15,Superlig&aelig;n Relegation Playoff,
C,superligaenqualification,16,Superlig&aelig;n Qualification,
L,1division,20,1. Division,
L,1divisionpromotiongroup,20,1. Division Promotion Group,
L,1divisionrelegationgroup,20,1. Division Relegation Group,
L,2divisiongrp1,30,2. Division Group 1,
L,2divisiongrp2,31,2. Division Group 2,
L,2divisiongrp3,32,2. Division Group 3,
L,2divisionpromotiongroup,25,2. Division Promotion Group,
L,2divisionrelegationgroup,26,2. Division Relegation Group,
C,dbupokalen,100,DBU Pokalen,
N,ECU,Ecuador,750,ecuador
			L,seriea,10,Serie A,
			L,serieafirststage,10,Series A (1st Stage),
			L,serieaapertura,10,Serie A Apertura,
			L,serieaclausura,10,Serie A Clausura,
C,serieacopasudamericanaplayoff,11,Serie A Copa Sudamericana Playoff,
L,serieasecondstage,11,Serie A 2<sup>nd</sup> Stage,
C,serieafinalstage,12,Serie A Finals,
			N,EGY,Egypt,790,egypt
			L,premierleague,10,Premier League,
			C,cup,100,Egypt FA Cup,
N,SLV,El Salvador,780,elsalvador
L,primeradivisionapertura,10,Primera Divisi&oacute;n - Apertura,
L,primeradivisionaperturafinalstage,12,Primera Divisi&oacute;n - Apertura Finals,
L,primeradivisionaperturafirststagegrouporiental,13,Primera Apertura 1st Stage Oriental,
L,primeradivisionaperturafirststagegroupcentral,13,Primera Apertura 1st Stage Central,
L,primeradivisionaperturafirststagegroupoccidental,13,Primera Apertura 1st Stage Occidental,
L,primeradivisionaperturasecondstagegroupa,14,Primera Divisi&oacute;n - Apertura 2<sup>nd</sup> Stage Group A,
L,primeradivisionaperturasecondstagegroupb,14,Primera Divisi&oacute;n - Apertura 2<sup>nd</sup> Stage Group B,
L,primeradivisionclausura,10,Primera Divisi&oacute;n - Clausura,
L,primeradivisionclausurarelegationplayoff,11,Primera Divisi&oacute;n - Relegation Playoff,
L,primeradivisionclausurafirststagegroupcentral,11,Primera Divisi&oacute;n Clausura 1st Stage Central, (SLV)
